#Clients, ticks, localCacheHit, neighborCacheHit, cacheMiss

# LRU
1000, 274341, 5309, 89564, 17
750, 206249, 4031, 67071, 23
500, 137657, 2628, 44801, 13
250, 68912, 1304, 22386, 7
100, 28154, 521, 8916, 9
50, 18051, 246, 4229, 15
10, 11482, 54, 345, 1
----------------------

#FIFO
10, 1832, 18, 99, 1
50, 2918, 92, 902, 1
100, 5672, 215, 1779, 4
250, 14117, 504, 4488, 3
500, 28298, 970, 9014, 4
750, 42136, 1455, 13541, 4
1000, 56088, 1973, 18025, 1

------------------------
#LRU
# Cache Size 10
# Server 25
# client size 15


10, 3957, 139, 533, 1
50, 11319, 725, 3469, 4
100, 22303, 1415, 6937, 4
250, 56060, 3378, 17531, 1
500, 111245, 7116, 34683, 3
750, 167212, 10671, 52167, 2
1000, 223426, 13898, 69833, 2
